,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,Kmeans_Clusters
298,2020-11-16-4,Format5,720,300,216000,Inter221,App,Mobile,Display,252,181,158,11,0.75,0.35,0.49,6.962025316455696,4.746835443037975,0.06818181818181818,4
299,2020-9-10-20,Format4,120,600,72000,Inter222,Video,Desktop,Video,1503,128,114,17,0.75,0.35,0.49,14.912280701754385,6.578947368421052,0.04411764705882353,1
300,2020-9-26-5,Format4,120,600,72000,Inter218,App,Mobile,Display,247,67,65,11,0.75,0.35,0.49,16.923076923076923,11.538461538461538,0.06818181818181818,1
301,2020-11-23-13,Format4,120,600,72000,Inter217,Web,Desktop,Display,96,66,62,8,0.76,0.35,0.5,12.903225806451612,12.258064516129032,0.095,1
302,2020-11-22-22,Format4,120,600,72000,Inter224,Web,Desktop,Video,85,39,38,14,0.78,0.35,0.51,36.84210526315789,20.526315789473685,0.055714285714285716,1
303,2020-9-26-3,Format4,120,600,72000,Inter224,Web,Desktop,Display,228,43,40,10,0.79,0.35,0.51,25.0,19.75,0.079,1
304,2020-11-23-20,Format4,120,600,72000,Inter220,Web,Mobile,Display,65,39,36,11,0.82,0.35,0.53,30.555555555555557,22.777777777777775,0.07454545454545454,1
305,2020-11-23-8,Format4,120,600,72000,Inter217,Web,Desktop,Display,48,41,40,8,0.82,0.35,0.53,20.0,20.499999999999996,0.1025,1
306,2020-9-21-3,Format6,336,250,84000,Inter221,App,Mobile,Display,360,45,41,12,0.84,0.35,0.54,29.268292682926827,20.48780487804878,0.06999999999999999,1
307,2020-11-17-13,Format4,120,600,72000,Inter217,Web,Desktop,Display,53,39,37,8,0.87,0.35,0.56,21.62162162162162,23.513513513513512,0.10875,1
308,2020-11-17-18,Format4,120,600,72000,Inter225,Video,Mobile,Display,90,65,63,12,0.87,0.35,0.57,19.047619047619047,13.80952380952381,0.0725,1
309,2020-11-23-12,Format4,120,600,72000,Inter221,App,Mobile,Video,88,54,54,11,0.89,0.35,0.58,20.37037037037037,16.48148148148148,0.08090909090909092,1
310,2020-9-16-1,Format4,120,600,72000,Inter220,Web,Mobile,Video,428,87,81,14,0.91,0.35,0.59,17.28395061728395,11.234567901234568,0.065,1
311,2020-10-4-5,Format4,120,600,72000,Inter220,Web,Mobile,Video,283,78,77,14,0.92,0.35,0.6,18.181818181818183,11.94805194805195,0.06571428571428571,1
312,2020-10-23-4,Format6,336,250,84000,Inter220,Web,Mobile,Display,215,88,87,13,0.93,0.35,0.61,14.942528735632186,10.689655172413794,0.07153846153846154,1
313,2020-10-14-4,Format6,336,250,84000,Inter221,App,Mobile,Display,181,70,68,15,0.96,0.35,0.62,22.058823529411764,14.117647058823529,0.064,1
314,2020-11-16-8,Format4,120,600,72000,Inter225,Video,Mobile,Display,52,42,39,11,0.96,0.35,0.62,28.205128205128204,24.615384615384617,0.08727272727272727,1
315,2020-10-22-5,Format6,336,250,84000,Inter228,Video,Mobile,Display,180,94,85,12,0.98,0.35,0.63,14.117647058823529,11.529411764705882,0.08166666666666667,1
316,2020-9-9-21,Format4,120,600,72000,Inter228,Video,Mobile,Video,539,81,74,24,0.98,0.35,0.64,32.432432432432435,13.243243243243244,0.04083333333333333,1
317,2020-9-30-5,Format4,120,600,72000,Inter222,Video,Desktop,Display,219,61,52,10,0.98,0.35,0.64,19.230769230769234,18.846153846153847,0.098,1
318,2020-11-6-17,Format5,720,300,216000,Inter225,Video,Mobile,Video,98,68,59,13,0.99,0.35,0.64,22.033898305084744,16.779661016949152,0.07615384615384616,4
319,2020-11-15-21,Format4,120,600,72000,Inter225,Video,Mobile,Video,81,33,32,13,0.99,0.35,0.64,40.625,30.9375,0.07615384615384616,1
320,2020-11-5-21,Format5,720,300,216000,Inter224,Web,Desktop,Display,290,168,142,19,1.0,0.35,0.65,13.380281690140844,7.042253521126761,0.05263157894736842,4
321,2020-11-23-10,Format4,120,600,72000,Inter229,Video,Desktop,Display,61,44,44,13,1.04,0.35,0.67,29.545454545454547,23.636363636363637,0.08,1
322,2020-9-13-3,Format4,120,600,72000,Inter225,Video,Mobile,Video,330,44,43,11,1.04,0.35,0.68,25.581395348837212,24.18604651162791,0.09454545454545454,1
323,2020-10-6-3,Format4,120,600,72000,Inter224,Web,Desktop,Display,308,66,64,11,1.05,0.35,0.68,17.1875,16.40625,0.09545454545454546,1
324,2020-11-17-17,Format4,120,600,72000,Inter228,Video,Mobile,Video,100,57,54,13,1.07,0.35,0.69,24.074074074074073,19.814814814814817,0.08230769230769232,1
325,2020-9-14-2,Format4,120,600,72000,Inter229,Video,Desktop,Video,411,81,78,15,1.08,0.35,0.7,19.230769230769234,13.846153846153847,0.07200000000000001,1
326,2020-10-3-5,Format4,120,600,72000,Inter221,App,Mobile,Display,216,67,63,16,1.1,0.35,0.71,25.396825396825395,17.460317460317462,0.06875,1
327,2020-10-4-15,Format1,300,250,75000,Inter220,Web,Mobile,Video,1984,311,311,1,1.1,0.35,0.71,0.3215434083601286,3.536977491961415,1.1,0
328,2020-10-5-4,Format4,120,600,72000,Inter217,Web,Desktop,Display,329,72,70,12,1.11,0.35,0.72,17.142857142857142,15.857142857142858,0.09250000000000001,1
329,2020-11-20-4,Format5,720,300,216000,Inter227,App,Mobile,Display,247,164,130,16,1.11,0.35,0.72,12.307692307692308,8.53846153846154,0.069375,4
330,2020-9-26-7,Format1,300,250,75000,Inter222,Video,Desktop,Video,1813,179,177,1,1.11,0.35,0.72,0.5649717514124294,6.271186440677967,1.11,0
