,Calories, Total Fat (g),Cholesterol (mg),clusters,Clus_kmeans,sil_width
217,90,0.1,20,2,1,0.6655162768369094
218,120,0.1,26,2,1,0.6454334145404266
219,160,0.1,34,2,1,0.5466798501910625
220,110,0.5,24,2,1,0.6654073096682044
221,150,1.0,33,2,1,0.5766649629596253
222,210,1.0,46,2,1,0.19044144961118184
223,100,0.1,23,2,1,0.6608575650031641
224,150,0.1,33,2,1,0.5715318790312247
225,200,0.1,44,2,1,0.3059165079726895
226,150,3.0,30,2,1,0.5251276239960574
227,220,4.0,43,2,0,0.08234103150097645
228,290,5.0,58,1,0,0.49251468763972817
229,170,0.1,39,2,1,0.4670677619583642
230,190,3.0,38,2,1,0.29284501086249254
231,170,1.5,37,2,1,0.4775640669417266
232,230,0.2,53,2,0,-0.0253743742579443
233,260,4.0,53,2,0,0.3852175327661651
234,240,2.0,51,2,0,0.1474012103991068
235,310,0.2,70,1,0,0.3214846696328504
236,350,6.0,70,1,0,0.5277265933156504
237,320,3.2,67,1,0,0.4849127957834041
238,170,0.1,39,2,1,0.4670677619583642
239,200,3.5,39,2,1,0.1726357529530021
240,180,1.5,37,2,1,0.4508890642450561
241,240,0.1,56,2,0,0.060605079736138476
